"SongPage","Title","Artist"
"song-display.html?song=To_Put_Up_With_You_Paul_Williams.pdf&id=1505","To Put Up With You","Paul Williams"
"song-display.html?song=Hard_Headed_Woman_Cat_Stevens.pdf&id=1504","Hard Headed Woman","Cat Stevens"
"song-display.html?song=My_Roots_Go_Down_Sarah_Pirtle.pdf&id=1503","My Roots Go Down","Sarah Pirtle"
"song-display.html?song=Mona_Lisa_And_Mad_Hatters_Elton_John.pdf&id=1502","Mona Lisa And Mad Hatters","Elton John"
"song-display.html?song=Signs_Five_Man_Electrical_Band.pdf&id=1501","Signs","Five Man Electrical Band"
"song-display.html?song=Before_The_Next_Teardrop_Falls_Freddy_Fender.pdf&id=1500","Before The Next Teardrop Falls","Freddie Fender"
"song-display.html?song=Shooting_Star_Bad_Company.pdf&id=1499","Shooting Star","Bad Company"
"song-display.html?song=Already_Home_Alex_The_Astronaut.pdf&id=1497","Already Home","Alex The Astronaut"
"song-display.html?song=Dead_End_Street_The_Kinks.pdf&id=1496","Dead End Street","Kinks"
"song-display.html?song=Seven_Nation_Army_White_Stripes.pdf&id=1495","Seven Nation Army","White Stripes"
"song-display.html?song=I_Can_Help_Billy_Swan.pdf&id=1494","I Can Help","Billy Swan"
"song-display.html?song=The_Long_And_Winding_Road_Beatles.pdf&id=1493","The Long And Winding Road","Beatles"
"song-display.html?song=Handy_Man_James_Taylor.pdf&id=1492","Handy Man","James Taylor"
"song-display.html?song=Ive_Been_A_Bad_Bad_Boy_Paul_Jones.pdf&id=1491","I've Been A Bad Bad Boy","Paul Jones"
"song-display.html?song=Tired_Of_Waiting_For_You_Kinks.pdf&id=1490","Tired Of Waiting For You","Kinks"
"song-display.html?song=The_First_Time_Ever_I_Saw_Your_Face_Roberta_Flack.pdf&id=1489","The First Time Ever I Saw Your Face","Roberta Flack"
"song-display.html?song=Back_To_Black_Amy_Winehouse.pdf&id=1488","Back To Black","Amy Winehouse"
"song-display.html?song=Here_We_Go_Jon_Brion.pdf&id=1487","Here We Go","Jon Brion"
"song-display.html?song=This_Whole_World_Beach_Boys.pdf&id=1486","This Whole World","Beach Boys"
"song-display.html?song=Heroes_David_Bowie.pdf&id=1485","Heroes","David Bowie"
"song-display.html?song=All_The_Young_Dudes_Mott_The_Hoople.pdf&id=1484","All The Young Dudes","Mott The Hoople"
"song-display.html?song=Lazy_Sunday_Small_Faces.pdf&id=1483","Lazy Sunday","Small Faces"
"song-display.html?song=Blackberry_Way_Move.pdf&id=1482","Blackberry Way","Move"
"song-display.html?song=City_of_Stars_La_La_Land.pdf&id=1481","City Of Stars","La La Land"
"song-display.html?song=Julia_Pavlovs_Dog.pdf&id=1480","Julia","Pavlov's Dog"
"song-display.html?song=Is_This_Love_Alison_Moyet.pdf&id=1479","Is This Love","Alison Moyet"
"song-display.html?song=Where_Is_The_Love_Roberta_Flack_and_Donny_Hathaway_Ver2.pdf&id=1478","Where Is The Love V2","Roberta Flack and Donny Hathaway"
"song-display.html?song=Four_Seasons_In_One_Day_Crowded_House.pdf&id=1477","Four Seasons In One Day","Crowded House"
"song-display.html?song=Trace_The_Sun_Dunes.pdf&id=1476","Trace The Sun","The Dunes"
"song-display.html?song=Bus_Stop_Dm.pdf&id=1475","Bus Stop","Hollies"
"song-display.html?song=Merry_Christmas_Ramones.pdf&id=1474","Merry Christmas [I Don't Want To Fight Tonight]","Ramones"
"song-display.html?song=Christmas_Vacation_Mavis_Staples.pdf&id=1473","Christmas Vacation","Mavis Staples"
"song-display.html?song=Here_Comes_Santa_In_a_Red_Canoe_The_Surfers.pdf&id=1472","Here Comes Santa In a Red Canoe","The Surfers [Christmas]"
"song-display.html?song=Dancing_In_The_Dark_Bruce_Springsteen.pdf&id=1471","Dancing In The Dark","Bruce Springsteen"
"song-display.html?song=I_Cant_Forget_Leonard_Cohen.pdf&id=1470","I Can't Forget","Leonard Cohen"
"song-display.html?song=Tight_Rope_Leon_Russell.pdf&id=1469","Tight Rope","Leon Russell"
"song-display.html?song=You_Aint_Seen_Nothing_Yet_Bachman_Turner_Overdrive.pdf&id=1468","You Ain't Seen Nothing Yet","Bachman Turner Overdrive"
"song-display.html?song=Maggie_May_Rod_Stewart.pdf&id=1467","Maggie May","Rod Stewart"
"song-display.html?song=Against_The_Wind_Bob_Seger.pdf&id=1466","Against The Wind","Bob Seger"
"song-display.html?song=Static_On_The_Radio_Jim_White.pdf&id=1465","Static On The Radio","Jim White"
"song-display.html?song=In_The_Summertime_Mungo_Jerry.pdf&id=1464","In The Summertime","Mungo Jerry"
"song-display.html?song=Exs_and_Ohs_Elle_King.pdf&id=1463","Ex's and Oh's","Elle King"
"song-display.html?song=San_Franciscan_Nights_Animals.pdf&id=1462","San Franciscan Nights","Animals"
